"x1" "x2" "x3" "x4" "y"
32 10 19.8931 77.124 -118.0122
24 10 24.2852 87.3268 -120.0473
34 12 15.4815 60.1099 -128.5918
30 5 19.5047 73.6705 -159.872
34 8 15.3432 58.6909 -174.1457
42 12 24.5483 93.3358 -187.568
31 10 17.9647 66.7451 -116.232
38 11 15.8193 64.2735 -141.6411
26 5 24.3785 89.1611 -126.4677
28 12 24.776 93.8698 -140.2665
34 10 19.196 73.2148 -140.03
32 10 16.0034 60.7505 -153.1279
30 10 19.2008 72.9436 -104.5688
31 13 17.5114 67.3484 -119.8539
36 6 15.3357 58.0422 -171.47
35 8 15.9272 60.4544 -151.0986
33 17 21.3738 83.6898 -108.6175
33 12 17.9971 70.8272 -117.2806
29 7 16.2721 64.1151 -138.3571
39 10 15.7985 60.1941 -181.3017
28 5 15.8548 58.0912 -125.09
39 13 19.3818 75.4795 -166.3478
37 11 20.7262 76.3872 -145.7275
